"name","type"
"Knezovic, A.","NA"
"Knopfel, T.","NA"
"Knox, J.","NA"
"Kodvanj, I.","NA"
"Kofoed, M. S.","NA"
"Kohler-Forsberg, O.","NA"
"Koht, J.","NA"
"Koot, H. M.","NA"
"Korsbek, L.","ADULT"
"Korshoej, A. R.","NA"
"Kramer Schmidt, L.","ADULT"
"Kranzler, H. R.","NA"
"Kraplin, A.","NA"
"Krieger, T.","NA"
"Kristensen, B. W.","NON"
"Kristensen, K. B.","NA"
"Kristensen, T. S.","NA"
"Kroigard, T.","NA"
"Krone, W.","NA"
"Kronke, K. M.","NA"
"Kucharska-Mazur, J.","NA"
"Kuerbis, A.","NA"
"Kuhn, S.","NA"
"Kumakura, Y.","NA"
"Kuntsi, J.","NA"
"Kwon, E. H.","NA"
"Ladegaard, N.","NA"
"Lambert, M. C.","NA"
"Lambertsen, K. L.","NON"
"Langballe, R.","NA"
"Langeskov-Christensen, M.","NA"
"Langhorn, L.","NA"
"Larsen, E. R.","ADULT"
"Larsen, J.","NA"
"Larsen, M. B.","NA"
"Larsen, M. D.","NA"
"Larsen, M. R.","NON"
"Larsen, P. V.","NA"
"Larsen, S. N.","NA"
"Larsson, H.","NA"
"Laursen, C. B.","NA"
"Laursen, T. M.","NA"
"Lebahn-Hadidi, M.","NA"
"Lebiecka, Z.","NA"
"Leckman, J. F.","NA"
"Leclair, A.","NA"
"Lee Hee, Q.","NA"
"Lesch, K. P.","NA"
"Leung, P.","NA"
"Lichtenstein, M. B.","ADULT"
"Lim, K. S.","NA"
"Lindberg, U.","NA"
"Lindhardt, L.","NA"
"Lindholt, J. S.","NON"
"Lindquist, S.","NA"
"Lingor, P.","NA"
"Linkhorst, T.","ADULT"
"Linnet, J.","NA"
"Litten, R.","NA"
"Liu, X.","NA"
"Lokke, A.","NA"
"Lolk, A.","ADULT"
"Loo, S. K.","NA"
"Louise Forsberg, S.","NA"
"Lukjanska, R.","NA"
"Lund, L. C.","NA"
"Lund, M. C.","NA"
"Lycke, J.","NA"
"Lydolph, M.","NA"
"Madsen, C.","NA"
"Madsen, J. B.","NA"
"Madsen, K. B.","NA"
"Maegbaek, M. L.","NA"
"Magai, D. N.","NA"
"Maggiolini, A.","NA"
"Magnus, T.","NA"
"Maier, A. D.","NA"
"Mainz, J.","NA"
"Mann, K.","NA"
"Manor, I.","NA"
"Mansourvar, M.","NA"
"Marcus, K.","NA"
"Maria Michel, T.","ADULT"
"Markovic, L.","NA"
"Martin, J.","NA"
"Mathiasen, K.","NA"
"Mathiesen, T.","NA"
"Mathiesen, T. I.","NA"
"Mejldal, A.","ADULT"
"Mellentin, A. I.","ADULT"
"Melo-Braga, M. N.","NA"
"Metaxas, A.","NA"
"Metzke, C. W.","NA"
"Meyer, M.","NON"
"Michel, T. M.","ADULT"
"Michelis, L. A.","NA"
"Mikkelsen, E. G.","NA"
"Mikolic, A.","NA"
"Minaei, A.","NA"
"Miranda, A.","NA"
"Mirian, C.","NA"
"Mistarz, N.","ADULT"
"Mitta Raghava, J.","NA"
"Moeller, A. M.","ADULT"
"Mogensen, C. B.","NA"
"Mohammadi, Z.","NA"
"Mohammadzadeh, P.","NA"
"Molenaar, N. M.","NA"
"Mollegaard Jepsen, J. R.","NA"
"Moller, A.","NA"
"Moller, J. E.","NA"
"Moller, M.","NA"
"Moller, R. S.","NON"
"Moller, S.","NA"
"Momen, N. C.","NA"
"Monzani da Rocha, M.","NA"
"Moreira, P. A. S.","NA"
"Mors, O.","NA"
"Mortensen, M. D.","NA"
"Mortensen, O. S.","NA"
"Mortensen, S. K.","NA"
"Mortz, C. G.","NA"
"Mueller, J. K.","NA"
"Mulatu, M. S.","NA"
"Muller, A.","NA"
"Muller, T.","NA"
"Muller, W. E.","NA"
"Munch, T. N.","NA"
"Munk-Jorgensen, P.","ADULT"
"Munk-Laursen, T.","NA"
"Munk-Olsen, T.","NON"
"Munthe, S.","NA"
"Maas, A. I. R.","NA"
"Naemi, A.","NA"
"Nawrocki, A.","NA"
"Neumer, S. P.","NA"
"Ng, C. C.","NA"
"Nguyen, N.","NA"
"Niclasen, B. H.","NA"
"Nicolau, A. B.","NA"
"Nielsen, A. B.","NA"
"Nielsen, A. S.","ADULT"
"Nielsen, B.","ADULT"
"Nielsen, D. G.","ADULT"
"Nielsen, F.","ADULT"
"Nielsen, H. H.","NON"
"Nielsen, P. S.","NA"
"Nielsen, P. V.","NA"
"Nielsen, R. E.","NA"
"Nilsson, A. C.","NA"
"Nilsson, L. S.","NA"
"Nissen, M.","NA"
"Nissen, M. S.","NA"
"Nohr, B.","NA"
"Nordentoft, M.","NA"
"Nordgaard, J.","NA"
"Novakova, L.","NA"
"Novik, T. S.","NA"
"Nygaard, L.","NA"
"Oades, R. D.","NA"
"Oh, K. J.","NA"
"Olesen, L. O.","NA"
"Olesen, M.","NA"
"O'Malley, S. S.","NA"
"Opsahl, T.","NA"
"Orsini, A.","NA"
"Orvik, M. S.","NA"
"Osmanovic Barilar, J.","NA"
"Overgaard, M.","NA"
"Pagsberg, A. K.","NA"
"Pal, D. K.","NA"
"Palizgar, F.","NA"
"Panjwani, N.","NA"
"Pantelis, C.","NA"
"Pearson, G.","NA"
"Pedersen, A. L. W.","ADULT"
"Pedersen, C. B.","NON"
"Pedersen, J. K.","NA"
"Pedersen, M. L.","ADULT"
"Pedersen, M. M. A.","NA"
"Pedrosa, D. J.","NA"
"Pereira, Tdsf","NA"
"Petersen, L.","NA"
"Petersen, L. V.","NA"
"Petersen, T.","NA"
"Petot, D.","NA"
"Petot, J. M.","NA"
"Piepke, M.","NA"
"Pihl-Jensen, G.","NA"
"Piil, K.","NA"
"Pilegaard, H.","NA"
"Pisa, C.","NA"
"Plass, A. M.","NA"
"Plessen, K. J.","NA"
"Plomgaard, P.","NA"
"Polinder, S.","NA"
"Pomalima, R.","NA"
"Posserud, M. B.","NA"
"Posth, S.","NA"
"Pottegard, A.","NA"
"Poulsen, F. R.","NON"
"Poulsgaard, L.","NA"
"Prokhorova, T.","ADULT"
"Puggaard, L. B.","NA"
"Purves, K. L.","NA"
"Rajabi, M.","NA"
"Ramos-Quiroga, J. A.","NA"
"Ranning, A.","NA"
"Rask, C. U.","NA"
"Rasmussen, J.","NA"
"Rasmussen, L.","NA"
"Rasmussen, L. M.","NON"
"Ravn, S. L.","NA"
"Rees, M. I.","NA"
"Reilev, M.","NA"
"Ren, P.","NA"
"Retel Helmrich, I. R. A.","NA"
"Reynolds, R.","NA"
"Ribases, M.","NA"
"Rich, K. K.","NA"
"Richardson, M. P.","NA"
"Riederer, P.","ADULT"
"Riper, H.","NA"
"Roder, M. E.","NA"
"Roessler, K. K.","NA"
"Roeyers, H.","NA"
"Rohde, C.","NA"
"Rom Poulsen, F.","NON"
"Rommel, A. S.","NA"
"Rosenberg, J. B.","NA"
"Roshani, F.","NA"
"Rossen, C. B.","BUP"
"Rosthoj, S.","NA"
"Rotbain, E.","NA"
"Rothenberger, A.","NA"
"Rottger, R.","NA"
"Roussos, A.","NA"
"Rowaert, S.","NA"
"Rubboli, G.","NA"
"Rudan, V.","NA"
"Rugulies, R.","NA"
"Rybner, A.","NA"
"Ryding, M.","NA"
"Salkovic-Petrisic, M.","NA"
"Samochowiec, J.","NA"
"Sawyer, M. G.","NA"
"Schachar, R.","NA"
"Schadlich, I. S.","NA"
"Scheie, D.","NA"
"Schelde-Olesen, M. T.","NA"
"Scholer, P. N.","ADULT"
"Schork, K.","NA"
"Schroder, C.","NA"
"Schroter, N.","NA"
"Schulz, M. K.","NA"
"Schytte, T.","NA"
"Scodes, J.","NA"
"Secher, N. H.","NA"
"Sejbaek, T.","NA"
"Selmer, K. K.","NA"
"Sergeant, J.","NA"
"Severino, M.","NA"
"Shahini, M.","NA"
"Shakeshaft, A.","NA"
"Sheldrick-Michel, T. M.","ADULT"
"Sibbersen, C.","NA"
"Silverman, W. K.","NA"
"Simon, L.","NA"
"Simonsen, A.","NA"
"Simonsen, E.","NA"
"Simsek, Z.","NA"
"Sivasaravanaparan, M.","NA"
"Sjogren, J. M.","NA"
"Sjogren, M.","NA"
"Skalkidou, A.","NA"
"Skjoth-Rasmussen, J.","NA"
"Skoneczny, T.","NA"
"Skot, L.","ADULT"
"Skou, S. T.","NA"
"Skov, C. D.","NA"
"Skovgaard, A. M.","NA"
"Smith-Nielsen, J.","NA"
"Smoktunowicz, E.","NA"
"Smolka, M. N.","NA"
"Soderpalm, B.","NA"
"Sogaard Nielsen, A.","ADULT"
"Sondergaard, J.","NA"
"Sondergaard, R.","NA"
"Song, C.","NA"
"Sorensen von Essen, H.","NA"
"Sorensen, C. B.","NA"
"Sorensen, M. D.","NA"
"Stacey, D.","NA"
"Steffensen, K. D.","NA"
"Steffensen, L. B.","NA"
"Steffensen, S. V.","NA"
"Steinbuechel, N. V.","NA"
"Steinhausen, H. C.","BUP"
"Stenager, E.","ADULT"
"Stokholm, J.","NA"
"Stoving, R. K.","BUP"
"Strekalova, T.","NA"
"Striano, P.","NA"
"Strug, L. J.","NA"
"Stryhn, L.","NA"
"Stubbe, J.","NA"
"Sulaiman, D.","NA"
"Svendsen, A. J.","NA"
"Svenningsen, A. F.","NON"
"Swain, J.","NA"
"Syvertsen, M.","NA"
"Tarp, K.","ADULT"
"Thastum, M.","NA"
"Thomas, R. H.","NA"
"Thomassen, M.","NA"
"Thomsen, P. H.","NA"
"Thorning, M.","NA"
"Thorsen, L.","ADULT"
"Thorsen, M.","ADULT"
"Thorsen, S. V.","NA"
"Thorup, A. A. E.","NA"
"Timmermann, C. A. G.","NA"
"Tingleff, E. B.","ADULT"
"Titzler, I.","NA"
"Toft, P.","NA"
"Tonder, E. S.","NA"
"Tonges, L.","NA"
"Topooco, N.","NA"
"Torp-Pedersen, C.","NA"
"Townsend, L. K.","NA"
"Trabjerg, B. B.","NA"
"Turner, L.","NA"
"Tyburski, E.","NA"
"Vafaee, M. S.","ADULT"
"Vainieri, I.","NA"
"Valdimarsdottir, U. A.","NA"
"Valentin, J. B.","NA"
"van der Vlegel, M.","NA"
"van Straten, A.","NA"
"van Veen, E.","NA"
"Verhulst, F. C.","NA"
"Vestergaard, M.","NA"
"Vestphal, T. K.","ADULT"
"Vienhues, J. H.","NA"
"Vigod, S. N.","NA"
"Villadsen, E.","NA"
"Vinding, R.","NA"
"Vinding, S.","NA"
"Vinslov-Jensen, H.","NA"
"Vinten, K. T.","NA"
"Virag, D.","NA"
"Vitger, T.","NA"
"Vitorio, J. G.","NA"
"von Linstow, C. U.","NA"
"Vuijk, P. J.","NA"
"Wagner, C. B.","NA"
"Waider, J.","NA"
"Wall, M.","NA"
"Wallhed Finn, S.","ADULT"
"Wallstrom, I. G.","ADULT"
"Weed, E.","NA"
"Wegener, G.","NA"
"Weglinski, C. M.","NA"
"Weintraub, S.","NA"
"Weiss, B.","NA"
"Wesselhoeft, R.","BUP"
"Wiborg, O.","NA"
"Wiil, U. K.","NA"
"Wilson, L.","NA"
"Wilson, R.","NA"
"Winkler, L. A.","NA"
"Wirenfeldt, M.","NA"
"Wirtz, J.","NA"
"Witkiewitz, K.","NA"
"Wolanczyk, T.","NA"
"Wolf, R. T.","NA"
"Wolff, M.","NA"
"Wong, D. F.","NA"
"Woofenden, T. W.","NA"
"Wright, D. C.","NA"
"Wulf, M.","NA"
"Waagepetersen, H. S.","NA"
"Yates, A. G.","NA"
"Ying, Y.","NA"
"Zarubova, J.","NA"
"Zeldovich, M.","NA"
"Zhang, E. Y.","NA"
"Zhang, M.","NA"
"Ziebell, M.","NA"
"Zilber, N.","NA"
"Zukauskiene, R.","NA"
"Cantio, C.","ADULT"
"Horder, K.","BUP"
"Villumsen, M. D.","BUP"
"Hellum, R.","ADULT"
"Sari, S","ADULT"
"Sorensen, C. H.","ADULT"
"Wieben, E.","ADULT"
"Bruun, H.","ADULT"
"Huniche, L.","NON"
"Nissen, R. D.","NON"
"Ravnborg, M. H.","NON"
"Nissen, Ricko Damberg","NA"
"Andersen, Aida Hougaard","NA"
"Molenaar, N.","NA"
"Lupattelli, A.","NA"
"Bauer, M.","NA"
"Glenn, T.","NA"
"Achtyes, E. D.","NA"
"Alda, M.","NA"
"Agaoglu, E.","NA"
"Altinbas, K.","NA"
"Andreassen, O. A.","NA"
"Angelopoulos, E.","NA"
"Ardau, R.","NA"
"Aydin, M.","NA"
"Ayhan, Y.","NA"
"Baethge, C.","NA"
"Bauer, R.","NA"
